"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Richfield1    Title: Behavioral, neurochemical, neuroanatomical, and neurotoxicological survey of the midbrain dopamine system in males of 15 inbred strains of mice    Year: 2003",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Richfield1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,age,horiz1,horiz2,horiz3,amb1,amb2,amb3,vert1,vert2,vert3,horiz_aver,horiz_total,horiz_rate,horiz_short_habit,horiz_long_habit,amb_aver,amb_total,amb_rate,amb_short_habit,amb_long_habit,vert_aver,vert_total,vert_rate,vert_short_habit,vert_long_habit,age_sac,DA,DOPAC,HVA,5HT,DA_turnover1,DA_turnover2
129X1/SvJ,m,1,9,2007,1150,948,1129,552,269,59,53,12,1368,4105,30.4,-1.07,-530,650,1950,14.4,-0.650,-430,41,124,0.900,-0.0300,-23.5,93,162,14.1,22.8,9.40,8.80,22.9
129X1/SvJ,m,19,9,1626,2283,1129,839,1377,428,,,,1679,5038,37.3,-1.89,-248,881,2644,19.6,-0.230,-206,,,,,,93,495,43.2,67,28.5,8.70,22.2
129X1/SvJ,m,26,9,1911,120,529,1084,15,126,51,1,6,853,2560,19,-1.49,-691,408,1225,9.10,-0.870,-479,19,58,0.400,-0.0400,-22.5,93,325,29.1,42.4,16.6,9,22
129X1/SvJ,m,38,9,3261,1227,1967,1873,614,1155,,,,2152,6455,47.8,-2.17,-647,1214,3642,27,-1.62,-359,,,,,,94,430,36.8,50.9,20.5,8.60,20.4
129X1/SvJ,m,45,9,2547,2225,2619,2024,1576,1699,41,43,38,2464,7391,54.7,-4.60,36,1766,5299,39.3,-2.86,-162,41,122,0.900,0,-1.50,94,242,16.3,26.8,11.9,6.70,17.8
129X1/SvJ,m,57,9,4092,2602,3070,2625,1434,1879,,,,3255,9764,72.3,-1.90,-511,1979,5938,44,-0.700,-373,,,,,,94,183,16,25.4,12.6,8.80,22.7
129X1/SvJ,m,75,9,3550,2816,1456,3052,1489,1023,106,66,21,2607,7822,57.9,-2.28,-1047,1855,5564,41.2,-1.93,-1014,64,193,1.40,-0.0400,-42.5,95,143,13.9,21.3,9.20,9.70,24.6
129X1/SvJ,m,81,9,926,2968,1588,468,1969,798,10,84,38,1827,5482,40.6,1.56,331,1078,3235,24,0.760,165,44,132,1,0.0900,14,95,164,12.1,21.8,10.2,7.30,20.6
129X1/SvJ,m,98,9,944,469,819,562,112,335,,,,744,2232,16.5,-1.94,-62.5,336,1009,7.50,-1.34,-114,,,,,,95,159,17.3,22.8,11.5,10.9,25.2
129X1/SvJ,m,101,9,1423,1447,1820,873,911,1027,9,12,15,1563,4690,34.7,-0.360,198,937,2811,20.8,-0.760,77,12,36,0.300,0.0100,3,95,184,10.9,22.7,10.8,5.90,18.3
A/HeJ,m,3,8,2364,2387,3258,1018,1162,1884,25,28,65,2670,8009,59.3,0.180,447,1355,4064,30.1,0.390,433,39,118,0.900,0.130,20,70,55.8,8,5.30,4.60,14.4,23.9
A/HeJ,m,13,8,5075,5577,4386,3077,3450,2501,88,161,99,5013,15038,111,-1.94,-344,3009,9028,66.9,-1.48,-288,116,348,2.60,0.0600,5.50,70,86.6,9.70,6.60,8.40,11.2,18.8
A/HeJ,m,24,8,2898,3556,5044,1678,1971,3144,54,214,403,3833,11498,85.2,-1.33,1073,2264,6793,50.3,-0.760,733,224,671,5,0.730,174,70,64.4,5.60,4.70,6.40,8.80,16.1
A/HeJ,m,37,8,3748,3700,3124,2096,1992,1705,43,136,125,3524,10572,78.3,0.780,-312,1931,5793,42.9,0.610,-196,101,304,2.30,0.110,41,70,63.9,11.4,5.80,5.50,17.9,27
A/HeJ,m,47,8,2379,3100,3585,1147,1697,2152,42,262,410,3021,9064,67.1,4.55,603,1665,4996,37,3.24,502,238,714,5.30,1.08,184,70,62.4,9.30,6.60,7,14.9,25.4
A/HeJ,m,56,8,7117,5781,4952,4809,3622,3056,245,186,183,5950,17850,132,1.34,-1082,3829,11487,85.1,1.35,-876,205,614,4.50,0.320,-31,70,50.3,5.50,4.60,5,10.9,20
A/HeJ,m,64,8,6301,5998,6376,4079,3755,4161,264,501,528,6225,18675,138,-3.45,37.5,3998,11995,88.9,-3.03,41,431,1293,9.60,-0.300,132,70,84.6,9.80,6.50,14.4,11.6,19.3
A/HeJ,m,79,8,4314,3569,6250,2721,2154,4111,47,56,213,4711,14133,105,2.29,968,2995,8986,66.6,1.76,695,105,316,2.30,0.450,83,70,81.6,7.60,6.60,6.20,9.40,17.5
A/HeJ,m,93,8,4168,2679,3638,2604,1524,2482,84,10,46,3495,10485,77.7,1.12,-265,2203,6610,49,0.570,-61,47,140,1,0.0600,-19,70,75.1,6.50,5.60,12.4,8.70,16.2
A/HeJ,m,104,8,4789,1907,4703,2894,898,2879,217,12,214,3800,11399,84.4,0.0700,-43,2224,6671,49.4,0,-7.50,148,443,3.30,0.0700,-1.50,70,53.5,3.50,2.80,5.40,6.50,11.7
A/J,m,111,9,2708,1945,3079,1305,884,1657,52,36,131,2577,7732,57.3,-0.950,186,1282,3846,28.5,-1.04,176,73,219,1.60,0.140,39.5,93,73.8,8.20,13.9,5.80,11.2,30.1
A/J,m,120,9,4513,5650,4683,2686,3537,2816,209,413,385,4949,14846,110,1.25,85,3013,9039,67,0.830,65,336,1007,7.50,0.200,88,93,163,19.8,33.3,20.7,12.2,32.7
A/J,m,124,9,3631,3728,3506,2246,2326,2110,,,,3622,10865,80.5,0.830,-62.5,2227,6682,49.5,0.470,-68,,,,,,93,256,31.4,48.2,21.4,12.3,31.1
A/J,m,129,9,2742,3076,1910,1300,1627,831,,,,2576,7728,57.2,-1.07,-416,1253,3758,27.8,-0.600,-234,,,,,,94,229,31,40.6,21,13.5,31.2
A/J,m,134,9,2021,1844,1325,1014,809,666,,,,1730,5190,38.4,-6.41,-348,830,2489,18.4,-3.66,-174,,,,,,94,130,14.7,23.6,11.5,11.3,29.5
A/J,m,137,9,2094,2122,1200,1131,1064,470,29,24,14,1805,5416,40.1,-3.07,-447,888,2665,19.7,-1.71,-330,22,67,0.500,-0.0400,-7.50,94,119,11.3,17.5,9.80,9.50,24.1
A/J,m,141,9,2545,1550,1952,1244,682,999,,,,2016,6047,44.8,1.06,-296,975,2925,21.7,1.02,-122,,,,,,94,112,10.9,18.9,10.8,9.70,26.6
A/J,m,146,9,3137,3607,3383,1739,1917,1918,,,,3376,10127,75,1.79,123,1858,5574,41.3,1.54,89.5,,,,,,95,85.3,13.2,20.5,8.50,15.4,39.5
A/J,m,151,9,803,2902,3880,354,1771,2446,28,168,353,2528,7585,56.2,2.80,1538,1524,4571,33.9,2.28,1046,183,549,4.10,0.590,162,95,103,13.4,20.7,11.5,13,33.1
A/J,m,154,9,2389,2708,2515,1399,1499,1382,,,,2537,7612,56.4,-0.940,63,1427,4280,31.7,-0.490,-8.50,,,,,,95,128,9.70,20.2,9.90,7.60,23.4
AKR/J,m,10,7,5106,10313,9222,3207,7334,6316,,,,8214,24641,182,-3.03,2058,5619,16857,125,-2.68,1554,,,,,,79,151,21.2,26.3,10.8,14,31.4
AKR/J,m,25,7,8546,8723,7271,7847,7914,6048,232,213,169,8180,24540,182,-6.87,-638,7270,21809,162,-8.22,-900,205,614,4.50,-0.220,-31.5,79,332,29.7,55.9,18.9,9,25.8
AKR/J,m,40,7,6766,6917,5216,4090,4405,3270,,,,6300,18899,140,-11.6,-775,3922,11765,87.1,-8.24,-410,,,,,,80,346,34.7,58,20.8,10,26.8
AKR/J,m,42,7,8855,6683,9976,6128,4042,6602,198,103,263,8505,25514,189,-14.1,560,5591,16772,124,-12.4,237,188,564,4.20,-0.640,32.5,80,203,17.6,33.7,11.4,8.70,25.3
AKR/J,m,54,7,5880,2714,3534,3829,1436,1812,,,,4043,12128,89.8,-5.38,-1173,2359,7077,52.4,-4.78,-1008,,,,,,80,199,12.6,24.5,10.4,6.30,18.7
AKR/J,m,65,7,7640,5573,4897,6546,4167,3772,197,74,122,6037,18110,134,-5.47,-1372,4828,14485,107,-5.38,-1387,131,393,2.90,0.0600,-37.5,80,121,7.70,18,6.80,6.40,21.3
AKR/J,m,78,7,9570,11110,8864,6769,7573,5832,,,,9848,29544,219,2.91,-353,6725,20174,149,1.14,-468,,,,,,81,126,12.7,19.9,7.70,10.1,25.8
AKR/J,m,90,7,8778,9967,7060,6320,7127,4770,,,,8602,25805,191,-11.7,-859,6072,18217,135,-8.95,-775,,,,,,81,65.2,6.10,11.6,7,9.40,27.2
AKR/J,m,99,7,7359,8370,7483,4560,5863,5048,,,,7737,23212,172,-7.81,62,5157,15471,115,-6.56,244,,,,,,81,110,12,17.4,9.30,10.9,26.6
AKR/J,m,103,7,4636,9186,6896,3119,6498,4682,144,444,303,6906,20718,154,-4.13,1130,4766,14299,106,-2.94,782,297,891,6.60,0.210,79.5,81,96.7,6,13.9,7,6.20,20.5
B10.D2-Hc<0>,m,9,9,10795,12476,12904,7327,8594,8843,,,,12058,36175,268,-5.26,1054,8255,24764,183,-3.80,758,,,,,,91,60.2,12.1,19.3,8.30,20.1,52.2
B10.D2-Hc<0>,m,20,9,10632,9033,8836,6990,5490,4837,,,,9500,28501,211,-13.6,-898,5772,17317,128,-11,-1076,,,,,,91,555,43.6,102,26.9,7.90,26.3
B10.D2-Hc<0>,m,27,9,11583,9992,12609,7829,6580,8593,,,,11395,34184,253,1.17,513,7667,23002,170,-0.130,382,,,,,,91,241,27.3,55.7,16.3,11.3,34.5
B10.D2-Hc<0>,m,36,9,7929,9149,12912,4965,5675,8437,413,437,504,9997,29990,222,-3.38,2492,6359,19077,141,-2.90,1736,451,1354,10,-0.120,45.5,92,471,44.5,78.9,22.3,9.40,26.2
B10.D2-Hc<0>,m,49,9,11817,12309,10106,7696,7942,6054,,,,11411,34232,254,-4.49,-856,7231,21692,161,-4.35,-821,,,,,,92,144,11.8,27.9,7.90,8.20,27.5
B10.D2-Hc<0>,m,63,9,11259,11544,11712,7538,7551,7789,358,294,424,11505,34515,256,1.04,226,7626,22878,170,0.320,126,359,1076,8,0.430,33,92,143,14.2,35.3,10.5,10,34.7
B10.D2-Hc<0>,m,74,9,14573,12634,12832,10266,8673,8766,,,,13346,40039,297,-0.0800,-870,9235,27705,205,0.580,-750,,,,,,93,106,13.4,26.1,8.80,12.6,37.1
B10.D2-Hc<0>,m,88,9,10261,11343,12068,6864,7512,8044,,,,11224,33672,249,-1.69,904,7473,22420,166,-1.76,590,,,,,,93,116,8.90,24.4,7.70,7.70,28.7
B10.D2-Hc<0>,m,91,9,13473,12685,11769,9195,8605,8135,528,465,368,12642,37927,281,-2.11,-852,8645,25935,192,-1.91,-530,454,1361,10.1,0.250,-80,93,95.2,9.20,21.1,6.70,9.70,31.8
B10.D2-Hc<0>,m,110,9,10010,9433,8909,6249,5904,5192,,,,9451,28352,210,-5.62,-550,5782,17345,128,-5.23,-528,,,,,,93,108,8.10,21.1,7.30,7.60,27.2
BALB/cByJ,m,8,9,4574,4899,4604,2827,3241,2842,,,,4692,14077,104,1.01,15,2970,8910,66,0.500,7.50,,,,,,93,109,13.7,18.1,7.20,12.6,29.2
BALB/cByJ,m,11,9,3984,7228,6582,2269,5042,4500,211,571,250,5931,17794,132,8.74,1299,3937,11811,87.5,7.75,1116,344,1032,7.60,0.550,19.5,93,168,12.4,24.4,10,7.40,21.9
BALB/cByJ,m,32,9,6279,3141,3616,4086,1901,1923,113,16,6,4345,13036,96.6,3.09,-1332,2637,7910,58.6,2.56,-1082,45,135,1,0.0100,-53.5,94,258,27,50.4,16.8,10.5,30
BALB/cByJ,m,43,9,11097,15120,17519,8427,11550,13356,375,390,893,14579,43736,324,-3.90,3211,11111,33333,247,-4.05,2464,553,1658,12.3,0.990,259,94,82.9,6.70,16,6.50,8.10,27.3
BALB/cByJ,m,59,9,6772,5643,5577,4694,3733,3987,,,,5997,17992,133,11.8,-598,4138,12414,92,9.79,-354,,,,,,94,136,13.5,21.1,9.50,10,25.5
BALB/cByJ,m,62,9,6600,7355,6303,4508,4971,4198,175,221,229,6753,20258,150,5.06,-148,4559,13677,101,4.52,-155,208,625,4.60,0.280,27,94,69.1,10.3,24,7.90,14.9,49.6
BALB/cByJ,m,76,9,9826,6326,4155,6842,4060,2427,235,65,40,6769,20307,150,3.66,-2836,4443,13329,98.7,2.90,-2208,113,340,2.50,0.150,-97.5,95,61.4,7.60,14.1,7.30,12.4,35.4
BALB/cByJ,m,87,9,4097,4540,4628,2408,2798,2906,,,,4422,13265,98.3,5.56,266,2704,8112,60.1,3.66,249,,,,,,95,65.9,7.30,13.2,7.70,11,31.1
BALB/cByJ,m,100,9,8016,8858,10736,5686,6312,7616,,,,9203,27610,204,-2.81,1360,6538,19614,145,-2.46,965,,,,,,95,,,,,,
BALB/cByJ,m,108,9,8574,8689,10017,6028,5979,7007,,,,9093,27280,202,5.17,722,6338,19014,141,3.40,490,,,,,,95,188,12.7,25.5,11.1,6.80,20.3
BALB/cJ,m,7,8,4176,2971,2800,2364,1636,1390,,,,3316,9947,73.7,1.60,-688,1797,5390,39.9,1.42,-487,,,,,,86,77,14.2,22,9.20,18.4,47
BALB/cJ,m,17,8,5771,4954,5733,3682,3124,3685,,,,5486,16458,122,5.02,-19,3497,10491,77.7,3.76,1.50,,,,,,86,248,17.2,39.9,12.2,6.90,23
BALB/cJ,m,23,8,6265,5233,4779,4136,3322,2997,305,310,240,5426,16277,121,-3.31,-743,3485,10455,77.4,-2.95,-570,285,855,6.30,-0.100,-32.5,86,240,25.4,51.2,14.9,10.6,32
BALB/cJ,m,35,8,5607,6580,1949,4674,5767,1267,213,289,22,4712,14136,105,-6.91,-1829,3903,11708,86.7,-5.62,-1704,175,524,3.90,-0.0700,-95.5,87,179,18.5,33.7,11.2,10.3,29.1
BALB/cJ,m,48,8,2291,372,1896,1098,126,838,,,,1520,4559,33.8,-1.88,-198,687,2062,15.3,-1.32,-130,,,,,,87,104,9.60,24,7.40,9.20,32.3
BALB/cJ,m,53,8,5102,4415,5458,3348,2683,3513,153,146,274,4992,14975,111,6.28,178,3181,9544,70.7,4.72,82.5,191,573,4.20,1.14,60.5,87,151,13,33.8,10.9,8.60,30.9
BALB/cJ,m,70,8,2988,2301,1704,1588,1191,857,,,,2331,6993,51.8,1.70,-642,1212,3636,26.9,0.680,-366,,,,,,87,113,10,24.4,7.10,8.80,30.4
BALB/cJ,m,80,8,7829,5837,6587,5351,3750,4536,,,,6751,20253,150,8.89,-621,4546,13637,101,6.12,-408,,,,,,88,108,13.1,29.6,8.30,12.1,39.4
BALB/cJ,m,89,8,4440,4678,5425,2479,2695,3285,,,,4848,14543,108,3.15,492,2820,8459,62.7,2.30,403,,,,,,88,85.9,7.20,16.9,7,8.40,28.1
BALB/cJ,m,94,8,1298,2809,2407,529,1640,1098,,,,2171,6514,48.3,-1.66,554,1089,3267,24.2,-1.21,284,,,,,,88,64.1,6.90,15.1,5.20,10.8,34.3
C3H/HeJ,m,4,9,4521,5044,3593,2830,3362,2179,,,,4386,13158,97.5,-3.55,-464,2790,8371,62,-2.11,-326,,,,,,93,144,16.1,17.7,10.2,11.2,23.5
C3H/HeJ,m,16,9,3995,2613,3347,2378,1556,2115,89,78,141,3318,9955,73.7,-15.2,-324,2016,6049,44.8,-10.5,-132,103,308,2.30,-0.670,26,93,261,15.6,26.6,14.1,6,16.1
C3H/HeJ,m,22,9,3690,5397,5803,2393,3345,3694,107,223,306,4963,14890,110,-10.4,1056,3144,9432,69.9,-6.86,650,212,636,4.70,-1.42,99.5,93,366,35,41.9,21.7,9.60,21
C3H/HeJ,m,31,9,4117,4684,6698,2542,3055,4171,367,381,512,5166,15499,115,-17.7,1290,3256,9768,72.4,-14.3,814,420,1260,9.30,-1.67,72.5,94,284,28.3,33.7,17.2,9.90,21.8
C3H/HeJ,m,60,9,4331,6182,5584,2521,3907,3473,,,,5366,16097,119,-5.53,626,3300,9901,73.3,-4.38,476,,,,,,94,96.8,10.1,12.2,7.70,10.5,23
C3H/HeJ,m,69,9,4902,4908,6631,2892,3126,4448,,,,5480,16441,122,-11.7,864,3489,10466,77.5,-8.84,778,,,,,,94,115,12.4,17.6,11.8,10.8,26.1
C3H/HeJ,m,71,9,5047,6805,4215,3143,4601,2540,218,359,258,5356,16067,119,-10.1,-416,3428,10284,76.2,-7.65,-302,278,835,6.20,-0.900,20,95,112,9.80,12.8,7,8.80,20.2
C3H/HeJ,m,84,9,2419,2816,2217,1455,1745,1279,,,,2484,7452,55.2,-4.15,-101,1493,4479,33.2,-3.53,-88,,,,,,95,180,15.3,21.8,11.6,8.50,20.6
C3H/HeJ,m,92,9,4847,6866,5007,3049,4470,3324,134,280,239,5573,16720,124,-11.3,80,3614,10843,80.3,-8.05,138,218,653,4.80,-0.470,52.5,95,121,11.6,15.5,8.40,9.60,22.5
C3H/HeJ,m,107,9,5202,4961,5327,3071,3031,3230,,,,5163,15490,115,-9.04,62.5,3111,9332,69.1,-7.18,79.5,,,,,,95,101,7.70,11.7,6.80,7.60,19.2
